HOUR,NS
3400,1173.6
3401,1199.5
3402,1177.9
3403,1154
3404,1162.5
3405,1173.3
3406,1086.3
3407,1015.5
3408,966.3
3409,926.5
3410,901.1
3411,900.8
3412,913.7
3413,947.5
3414,1070.6
3415,1127.3
3416,1149
3417,1122.9
3418,1133.6
3419,1180.1
3420,1176.3
3421,1158.1
3422,1140.7
3423,1138.8
3424,1189.3
3425,1218.3
3426,1166.7
3427,1183.6
3428,1236.6
3429,1218
3430,1137.7
3431,1086.8
3432,1037.2
3433,1021.7
3434,1004.3
3435,991.7
3436,1001.3
3437,1045.8
3438,1087.4
3439,1191.1
3440,1209
3441,1202
3442,1184.1
